Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Dai-ichi Karkaria Ltd,https://www.dai-ichiindia.com/,Pune (Kurkumbh),Custom synthesis & specialty chemicals,"Specialty surfactants, emulsifiers, oilfield chemicals used in paints, oil & gas, agrochemicals",?300–500 Cr,Meher Vakil Taff,Co- Founder and (MD),Ex Co-Founder(Natch Snack),Strong,Own manufacturing plants in Kurkumbh with in-house production of specialty chemicals,Strong,Headquartered in India with primary manufacturing operations in Pune,Strong,Produces niche surfactants and oilfield chemicals; R&D recognized by Government of India,Moderate,"Co- Founder Meher Vakil Taff is Business Administrator Economics , Business",Strong,Supported by Make in India initiatives and policy push for domestic chemical manufacturing,Strong,"Specialty chemicals sector supported by export growth, China+1 trend, and domestic demand",80,A Strong federer,Pass,"Mid-sized specialty chemical manufacturer with strong product differentiation and manufacturing capabilities, but partially institutionalized and lacking clear technical founder signal",Your early work in developing demulsifiers for ONGC and continued focus on specialty surfactants for oilfield applications stood out,"Company website LinkedIn
Industry references"
Melzer Chemicals Pvt Ltd,https://www.melzerspeciality.com/,Pune (Kurkumbh MIDC – manufacturing plant),Custom synthesis & specialty chemicals,"Biocides, preservatives, polymers, and specialty chemicals for water treatment, oil & gas, coatings, and industrial applications",?100–300 Cr,Sunil B. Shinde,Director,Sunil Balkrishna Shinde has 31 years in corporate governance. Holds Director and Additional Director roles,Strong,"Own manufacturing facilities in Pune producing biocides, polymers, and specialty chemicals",Strong,India-based company with Pune HQ and MIDC manufacturing plant,Moderate–Strong,"Specialized in biocides and water treatment chemicals serving multiple industrial sectors, though no strong patent/IP evidence publicly visible",Moderate,"Promoters have deep industry experience (~30 years), but no clear scientific/technical academic background found",Strong,"Specialty chemicals sector benefits from China+1 shift, rising export demand, and increasing consumption in water treatment, oil & gas, and industrial applications",Strong,"Revenue growth (~?202Cr ? ?266Cr), ongoing capex for capacity expansion, and diversified export base (~45% exports)",85,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer with in-house production, diversified industrial applications, and visible growth through expansion and exports, though technical founder signal is moderate","Your expansion in biocides and water treatment chemicals, along with recent capacity additions and export growth, stood out","Company website
CRISIL reports
Tofler / Tracxn
LinkedIn"
Demech Chemical Products Pvt Ltd,https://www.demechchemical.com/,Pune (Bhosari MIDC – manufacturing facility),Custom synthesis & specialty chemicals,"Epoxy-based coatings, composite repair materials, corrosion-resistant coatings for industrial equipment",?50–100 Cr,Jyoti Bhide,MD & CEO,MBA (The University of Western Australia),Strong,"Manufactures epoxy coatings, composites, and repair chemicals for industrial applications",Strong,Pune-based manufacturing operations in MIDC industrial area,Moderate,"Focus on corrosion protection and composite repair solutions, but products are application-based rather than highly proprietary niche chemistry",Strong,"Managing Director has a technical (B.Tech) and management (MBA) background, though current role appears more business-oriented",Strong,"Demand driven by industrial maintenance, infrastructure, oil & gas, and corrosion protection needs, though not as high-growth as core specialty chemicals",Moderate,"Active operations and product portfolio expansion, but limited visible hiring or major recent expansion announcements",70,B Probable Federer,Pass,"Mid-sized manufacturer with technical leadership and industrial applications, but limited differentiation and moderate growth signals reduce overall ICP strength",Your focus on corrosion-resistant coatings and composite repair solutions for critical industrial equipment stood out,"Company website
LinkedIn
CRISIL / Tracxn (if used)
Industry inference (for sector tailwinds)"
Chembond Chemicals Ltd,https://www.chembondindia.com/,Pune (Operational presence) + HQ in Navi Mumbai,Custom synthesis & specialty chemicals,"Water treatment chemicals
Construction chemicals
Industrial hygiene & specialty formulations",?200–400 Cr,Mr. Nirmal V. Shah,MD ,"SME Executive Program, Indian Institute of Management Ahmedabad",Strong,Manufactures specialty chemicals across multiple industrial applications,Strong,India-headquartered with multiple domestic manufacturing facilities,Strong,"Application-specific specialty chemicals across water treatment, infrastructure, and industrial sectors",Strong,"Current MD has a management background (IIM Ahmedabad) rather than a core technical/scientific background; however, the company retains a strong technical foundation",Strong,"chemicals sector benefits from China+1 shift, rising industrial demand, and increasing need for water treatment and infrastructure chemicals",Moderate,50+ years legacy with expansion into multiple business verticals,90,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer with strong technical founder, diversified application-driven products, and sustained growth, fitting well within ICP despite multi-location operations","Your long-standing work in water treatment and industrial specialty chemicals, particularly your early focus on corrosion protection solutions, stood out","Company website
LinkedIn
Screener
CRISIL"
Modepro India Pvt Ltd,http://modepro.co.in/,Pune (Kurkumbh MIDC – manufacturing plant),Custom synthesis & specialty chemicals,"API intermediates (late-stage pharma intermediates)  
fine chemicals
thiophene derivatives",?75–100 Cr,Mathew Philip Kavalam,Director,B.Pharm (Manipal Academy of Higher Education),Strong,"Own multipurpose plant with reactors, process scale-up capability",Strong,India-based company with Pune manufacturing facility,Strong,"API intermediates (late-stage)
thiophene chemistry specialization
process development capabilities",Moderate,"leadership in industrial/technical domain 
BUT Not clear in “scientist-founder” publicly document",Strong,"Pharma intermediates and specialty chemicals benefit from China+1 shift, export demand, and global pharma outsourcing",Strong,"USFDA audited facility (2022)
international pharma clients
expansion proposals (API plant)",85,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer focused on pharma intermediates with strong process capabilities and export orientation, fitting well within ICP despite moderate visibility of technical leadership","Your focus on late-stage API intermediates and thiophene chemistry, along with your USFDA-audited manufacturing capabilities, stood out","Website
Tofler / Screener
LinkedIn
Govt / report (optional but strong)"
Lavender Laboratories Pvt Ltd,https://lavenderlabs.co.in/,Pune (Kurkumbh MIDC – manufacturing facility),Custom synthesis & specialty chemicals,"API intermediates
fine chemicals
custom synthesis (CDMO services)
process development & scale-up","?72 Cr (FY2025 approx)
falls in ?50–100 Cr range",Dr. Dnyandeo Pathare,MD ,P.Hd in Chemisrty(Savitribai Phule Pune University),Strong,Manufacturing + scale-up + CDMO capabilities in pharma intermediates,,StronPune-based MIDC manufacturing unitg,Strong,Custom synthesis + CDMO + process development (niche pharma segment),Strong,"Managing Director holds a PhD in [relevant field, e.g., Chemistry/Chemical Engineering], indicating strong technical/scientific leadership",Strong,Pharma intermediates and CDMO sector benefit from China+1 shift and global outsourcing demand,Moderate, Revenue ~?70 Cr range; limited visible hiring/expansion signals,85,A Strong federer,Strongly-Pass,"Mid-sized custom synthesis and pharma intermediate manufacturer with in-house capabilities, fitting ICP despite moderate technical leadership visibility","Your focus on custom synthesis and CDMO services for pharma intermediates, along with your process development capabilities, stood out","Company website
Tofler / Tracxn
LinkedIn
MCA filings"
ASK Chemicals India Pvt Ltd,https://www.ask-chemicals.com/,Pune (Kurkumbh / Ranjangaon manufacturing presence),"Specialty chemicals (foundry chemicals, industrial resins)","Foundry chemicals (binders, coatings, risers, additives)
Industrial resins","?340 Cr revenue (FY25)
falls in ?100–500 Cr range",Manish Patrikar,Director,Ex Vice President(Technology & Marketing),Strong,Chemical manufacturing + foundry solutions production in India,Strong,Pune-based entity with manufacturing operations,Strong,Specialized foundry chemicals + industrial resins + global R&D network,Strong,MD has technology + marketing leadership experience,Moderate,Industrial chemicals + foundry + manufacturing ecosystem growth,Strong,"active hiring / global operations
revenue growth in recent years",85,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer (~?300Cr revenue) with strong local operations and technically experienced leadership, but part of a global parent group, making it a near-fit with ownership caveat","Your leadership in foundry chemicals and industrial resins, along with strong technical and marketing-driven operations in India, stood out","Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
Shogun Organics Limited,https://shogunorganics.com/,Pune (Kurkumbh MIDC – manufacturing plant,Custom synthesis & specialty chemicals (household insecticide actives / agrochemicals),"Active ingredients for mosquito repellents
agrochemical technicals
household insecticide chemicals",?279 Cr revenue (FY25),Neeraj Jindal,MD,Technical + business background,Strong,Manufactures active chemical ingredients at Kurkumbh plant,Strong,Manufacturing presence in Pune MIDC,Strong,Proprietary molecule (Renofluthrin) + insecticide actives,Strong,Leadership includes chemical engineering background (Neeraj Jindal),Strong,Agrochemicals + household insecticides demand growing,Strong,revenue jump ?150Cr ? ?279Cr,90,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer (~?280Cr revenue) focused on insecticide active ingredients with strong technical capabilities and growth momentum, fitting well within ICP despite group affiliation",Your development of proprietary mosquito repellent molecules like Renofluthrin and strong growth in insecticide actives stood out,Company + CRISIL report Company website Linked IN
Elkay Chemicals Pvt Ltd,https://elkaysilicones.com,Pune (Bhosari MIDC + Aundh office),Specialty chemicals (silicone-based performance chemicals),"Silicone fluids
silicone emulsions
antifoams
specialty silicone formulations",?241 Cr revenue (FY25),Dr. Ravi Kulkarni,Owner ,D.Eng.Sc Engineering(Columbia University),Strong,Manufactures silicone specialty chemicals (own plant in Bhosari),Strong,Pune-based manufacturing + India HQ,Strong,"Silicone chemistry = niche, high-performance segment",Strong,Founder/leader has technical (PhD-level) background,Strong,"Silicone chemicals used in multiple growing industries (personal care, pharma, construction)",Moderate,"steady revenue scale (~?241Cr)
BUT profitability decline seen recently",85,A Strong federer,Strongly-Pass,"Mid-sized specialty silicone chemical manufacturer (~?240Cr revenue) with strong niche positioning, promoter-led technical leadership, and diversified industrial applications, fitting well within ICP","Your strong focus on silicone-based specialty chemicals across industries like personal care, pharma, and petrochemicals stood out","Company Website
LinkedIn
Tofler
Tracxn"
Innovassynth Technologies (India) Ltd,https://www.innovassynth.com,Maharashtra (Khopoli – near Pune belt,Specialty chemicals (silicone-based performance chemicals),"Specialty chemicals
pharmaceutical intermediates
nucleosides & advanced molecules
custom synthesis (CRDMO/CDMO model)",?100–120 Cr,Hardik Joshipura,MD & CEO,P.HD,Strong,Manufacturing + scale-up + CRDMO,Strong,Maharashtra plant (Khopoli),Strong,"nucleosides, organometallics, advanced chemistries",Strong,R&D-driven org + advanced chemistry focus,Strong,pharma outsourcing + specialty chemicals,Moderate,revenue present but profitability issues / losses,80,A Strong federer,Pass,"Mid-sized specialty chemical and CRDMO company (~?118Cr revenue) with strong capabilities in advanced chemistries and manufacturing, fitting well within ICP despite profitability fluctuations","Your expertise in nucleosides and advanced specialty chemistries, along with your CRDMO capabilities, stood out","Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
Harmony Organics Pvt Ltd,harmonyorganics.in,"Pune (Manufacturing: Kurkumbh MIDC, Office: Hadapsar)","Specialty chemicals (aroma chemicals, fine chemicals for fragrance & flavor industry)","Aroma chemicals such as Phenyl Ethyl Alcohol (PEA) and Cinnamic Aldehyde, used in fragrance and flavor formulations",?100–500Cr,Ravi Nangia,Founder,"IIT Kanpur Chemical Engineer, ex-Unilever) + Sandeep Mehta (MD, ex-Reliance leadership) ",Strong,Own 6-acre manufacturing facility in Kurkumbh MIDC with dedicated chemical production infrastructure,Strong,India HQ + core manufacturing operations in Pune,Strong,"Largest manufacturer of PEA in India and among top globally, with high-capacity specialty chemical production",Strong,Founder is IIT Kanpur chemical engineer with industry experience (Unilever,Strong,Specialty aroma chemicals aligned with global fragrance & flavor demand and export markets,Strong,"Capacity expansion (PEA + derivatives)
New greenfield Dahej plant announced
IPO plans + business expansion",100,A Strong federer,Strongly-Pass,"Highly differentiated specialty chemical manufacturer with global scale in aroma chemicals, strong technical founder, and multiple expansion signals including new plant and IPO readiness",Largest manufacturer of Phenyl Ethyl Alcohol (PEA) in India with ongoing expansion into a new greenfield facility in Dahej,"Company website (products, facility, about)
LinkedIn (company + founder)
Financial site (Tofler / Zauba / TheCompanyCheck)"
Jsons Laboratories,jsonslab.com,"Kurkumbh MIDC, Pune, Maharashtra","Chemical intermediates / specialty chemicals (broad classification, not clearly niche)",Chemical intermediates and raw material chemicals (exact product portfolio not clearly disclosed),?300–500Cr (group-linked estimate),Ajay M. Jadhav,MD,engineering/manufacturing background,Strong,Located in MIDC Kurkumbh chemical zone with industrial manufacturing setup,Strong,Pune-based manufacturing operations,Moderate,"No clear proprietary products
No patents / certifications visible
Generic “chemical intermediates” positioning",Moderate,"Promoter group is engineering/manufacturing background (foundry business)

? But:

No direct chemical R&D founder signal",Strong,Specialty chemicals + intermediates benefit from China+1 and export trends,Moderate,"Hiring activity visible on LinkedIn
Part of expanding industrial group

? But:

No clear plant expansion / certifications",65,B Probable Federer,Pass,"Mid-scale chemical manufacturing unit within a larger industrial group, with solid manufacturing base and sector tailwinds, but limited visible differentiation and unclear product specialization","Part of Jsons Group (~$50M turnover) with chemical manufacturing operations in Kurkumbh MIDC, one of Maharashtra’s key chemical clusters","Company website
Justdial listing (intermediate chemical manufacturer), LinkedIn"
SAP Oleochemicals Pvt Ltd,sapoleo.in,"Kurkumbh MIDC, Pune, Maharashtra ",Oleochemicals / performance chemicals (derived from vegetable oils — NOT pharma intermediates/custom synthesis core),"Distilled Fatty Acids
Palmitic Acid
Crude Glycerine
Oleochemical derivatives from soybean & sunflower oil",?50–200Cr,Sonia Karia,Director,Master Of Finance,Strong,"State-of-the-art manufacturing plant in Kurkumbh
In-house production from vegetable oil derivatives",Strong,Pune HQ + Kurkumbh manufacturing,Moderate,"Oleochemical processing from natural feedstock (green chemistry angle)

? But:

Products (fatty acids, glycerine) are semi-commodity chemicals
No patents / DSIR / niche IP visible",Moderate,"Backed by industrial promoter group (Parakh Group)

? But:

No strong scientist / IIT / PhD founder signal",Strong,"Oleochemicals driven by sustainability + bio-based chemicals demand
Replacement of petrochemicals",Moderate,"Revenue growth (~12%)
Asset growth (~41%)
Modern plant infrastructure

? But:

No clear new expansion / hiring signals",65,B Probable Federer,Pass,"Established oleochemical manufacturer with strong manufacturing base and sustainability-driven sector tailwinds, but limited differentiation and semi-commodity product profile reduce its strength as a Federer company",Produces oleochemicals from soybean and sunflower oil feedstocks using green chemistry processes at its Kurkumbh facility,"Company website
Justdial listing (intermediate chemical manufacturer), LinkedIn"
Sohan Healthcare Pvt Ltd,https://www.sohanhealthcare.com/,Maharashtra (operations linked to API manufacturing; Pune ecosystem presence via industry links),Custom synthesis & specialty chemicals,"APIs such as Metformin Hydrochloride (anti-diabetic drug)
Other pharmaceutical molecules",?100–150Cr,Sohan Deelip Chakkarwar,Director,MBA ,Strong,API manufacturing (Metformin etc.),Strong,India-based manufacturing company,Moderate,"Manufactures APIs

? Problem:

Metformin = generic, commodity API
No patents / niche molecules visible",Moderate,"Promoter-led company

? But:

No strong IIT/PhD/scientist background visible",Strong,Pharma manufacturing (India global API hub),Strong,"Revenue growth (~?127Cr FY25)
EBITDA growth visible
Established operations since 2005",75,B Probable Federer,Pass,"Mid-sized API manufacturer with strong revenue base and growth signals, but primarily focused on generic APIs (e.g., metformin) with limited visible differentiation or proprietary capability",Generates ~?127Cr annual revenue from API manufacturing including widely used anti-diabetic molecules like Metformin Hydrochloride,"Company website
CRISIL reports
Tofler / Tracxn
LinkedIn"
Vansum Industries,vansumindustries.com,Pune (industrial manufacturing base — Maharashtra),Specialty chemicals / intermediates,"Chemical intermediates
Industrial chemicals
Possibly pharma/agro intermediates (not clearly specified)",?30–100C,Ms. Reshma Chainani,CEO,Chief Executive Officer(Pune IT park),Moderate,Manufacturing operations exist,Strong,Pune-based manufacturing,Moderate,"Chemical intermediates

? But:

No patents / DSIR / niche specialization
Generic positioning",Moderate,"Promoter-led

? But:

No strong IIT/PhD/scientist background visible",Strong,Specialty chemicals + intermediates benefit from China+1,Moderate,"Website presence

? But:

No hiring signals
No expansion news
No certifications",60,B Probable Federer,Pass,"Small-to-mid scale chemical manufacturer with basic intermediates and sector tailwinds, but lacks visible differentiation, strong technical leadership, and clear growth signals",Operates as a Pune-based chemical manufacturer supplying intermediates to industrial clients,"Company website
LinkedIn
Screener
CRISIL"
Gennova Biopharmaceuticals Limited,gennova.bio,"Pune — Hinjawadi (IT-BT Park, MIDC) ",Biopharmaceuticals,"Biosimilars (oncology, nephrology, cardiovascular)
Recombinant proteins
Vaccines (including India’s first mRNA COVID vaccine candidate)","?423Cr FY24
?432Cr FY25
Tofler band: ?100–500Cr",Dr. Sanjay Singh,CEO & Director,biotech/pharma background,Strong,"Manufactures biopharmaceutical products (biosimilars, biologics)",Strong,Pune HQ + India manufacturing,Strong,"Biosimilars + recombinant biologics
? mRNA vaccine capability (rare in India",Moderate,"Biotech leadership (Dr. Sanjay Singh)
? Pharma promoter group

? Slight downside:

Not independent founder-led (parent group influence)",Strong,"Biologics + vaccines = high-growth global sector
? India biotech push",Strong,"Revenue growth (~?423Cr ? ?432Cr)
New biosimilar launches pipeline
Government funding (PLI + vaccine grants)",95,A Strong federer,Strongly-Pass,"Highly differentiated biopharmaceutical manufacturer with strong R&D capabilities and growth signals, operating within the ideal revenue range; however, strategic dependence on parent company (Emcure) slightly reduces its fit as an independent promoter-driven Federer company",Developed India’s first mRNA vaccine candidate and operates in high-growth biosimilars and biologics segment with ?400Cr+ revenue scale,"Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
Enzene Biosciences Limited,enzene.com,"Chakan MIDC, Pune (India) + USA facility",Biopharmaceuticals — biosimilars + biologics + CDMO (hybrid model),"Biosimilars (oncology, autoimmune)
Recombinant biologics
Biopharma manufacturing (mAbs etc.)
ALSO: CDMO services","?364Cr FY25
?385Cr FY25 (alt estimate)
Tofler band: ?100–500Cr",Himanshu Gadgil,CEO,PhD,Strong,"GMP biologics manufacturing + R&D facilities
Continuous manufacturing platform",Strong,Pune HQ + India manufacturing,Strong,"Biosimilars + biologics
Proprietary continuous manufacturing tech (EnzeneX™)",Strong,Sr. Vice President,Strong,"Biologics + biosimilars
? Global pharma outsourcing growth",,,90,A Strong federer,Strongly-Pass,"Highly differentiated biologics manufacturer with strong R&D and growth within ideal revenue range; however, hybrid CDMO model and ownership under Alkem reduce its fit as an independent promoter-driven specialty manufacturer",Developed a proprietary continuous biologics manufacturing platform (EnzeneX™) and expanding globally with a new US manufacturing facility,"Company Website
LinkedIn
Tofler
Tracxn"
Mallak Specialties Pvt Ltd,mallakchemicals.com,Mahad (Maharashtra),Custom synthesis & specialty chemicals,"Organic pigments & colorants
Pharma & chemical intermediates
Ionic liquids (advanced chemistry applications)
Specialty surfactants & additives",?80–200Cr,Hari Bhoja Shetty,Director,promoter-led,Strong,"Multiple manufacturing plants (Mahad + Gujarat)
Full synthesis capabilities (scale-up, cGMP-like production)",Strong,India HQ + core manufacturing,Strong,"Specialty pigments + intermediates
Ionic liquids (advanced niche chemistry)
Multi-step synthesis (chlorination, nitration etc.)",Strong,"Promoter-led
? R&D + process chemistry focus (job roles show synthetic chemistry depth)

? BUT:

No clear IIT/PhD founder branding",Strong,"Pigments + specialty intermediates
Export-driven industries
Applications: pharma, coatings, plastics",Strong,"Export shipments (global customers)
Hiring (R&D roles)
Multi-location plants

? BUT:

No clear recent expansion/news",90,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer with strong capabilities in pigments, intermediates, and advanced chemistries, supported by multiple manufacturing facilities and export presence; fits DeepThought’s ICP well as a promoter-led, technically driven manufacturer, though limited public growth signals","Builds advanced chemical capabilities including ionic liquids and multi-step synthesis intermediates, supplying pigments and pharma intermediates globally","Company website LinkedIn
Industry references"
JP Laboratories Pvt Ltd,jpfine.com,"Kurkumbh MIDC (Manufacturing), Pune, Maharashtra",Pharmaceutical APIs / intermediates,"APIs like Isosorbide dinitrate / mononitrate
Pharmaceutical intermediates",?20–80Cr,Shivani Jagdish Pawar,Director,promoter-led,Strong,"GMP-compliant API manufacturing plant
Kurkumbh chemical zone facility",Strong,Pune manufacturing,Moderate,"API manufacturing

? BUT:

Products = generic molecules (isosorbide derivatives)
No patents / niche chemistry
No proprietary innovation",Moderate,"Pharma company

? BUT:

No strong scientific founder credentials visible",Strong,Pharma manufacturing demand,Moderate,"Manufacturing + exports

? BUT:

No hiring signals
No expansion
No certifications update
No growth news",65,B Probable Federer,Pass,"Small-to-mid scale API manufacturer with in-house production capability, but primarily focused on generic molecules with limited differentiation, weak growth visibility, and unclear technical leadership depth",Operates a GMP-compliant API manufacturing facility in Kurkumbh MIDC producing nitrate-based pharmaceutical molecules for global markets,"Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
PMD Chemicals Pvt Ltd,pmdchemicals.co.uk,"Wagholi, Pune (manufacturing / operations)",Specialty chemicals — electroplating & metal finishing chemicals,"Electroplating chemicals (zinc, nickel, chrome plating)
PCB chemicals
Metal finishing process chemistry
Industrial cleaners & treatment chemicals",?20–80Cr,Machhindra Shabaji Patade,Director,GRPSVM,Strong,Manufactures and supplies electroplating process chemicals,Strong,Pune manufacturing presence,Moderate,"Niche domain: metal finishing + PCB chemistry
Technical process chemistry",Moderate,"R&D-driven group with process chemistry expertise

? BUT:

Decision-making likely at global parent level",Strong,"Electronics, automotive, PCB, metal finishing sectors growing",Moderate,"Global expansion + multi-location presence

? BUT:

No India-specific hiring
No India plant expansion signals",75,B Probable Federer,Pass,"Technically strong specialty chemical manufacturer in electroplating and PCB chemistry, but operates as an Indian subsidiary of a global company, making it non-promoter-driven and outside DeepThought’s target MSME ICP despite reasonable scale and differentiation",Indian arm of a global process-chemistry company supplying electroplating and PCB chemicals to automotive and electronics industries,"Company Website
LinkedIn
Tofler
Tracxn"
Arjuna Natural Pvt Ltd,arjunanatural.com,Pune presence limited / not core manufacturing,Specialty food & nutraceutical ingredients,"Botanical extracts
Nutraceutical ingredients
Standardized plant extracts
Functional food ingredients",?200–500Cr,P.C. Kizhakkeveettil,Director,Founder-led,Strong,"Own extraction & manufacturing facilities
End-to-end production",Strong,India HQ,Strong,"Patented formulations
Clinical studies
Global IP",Strong,Founder-driven + scientific R&D,Strong,"Nutraceuticals
? Functional ingredients
? Global demand",Strong,"Global exports
? Product innovation
? Clinical validation
? Awards & recognitio",100,A Strong federer,Strongly-Pass,"Arjuna Natural is a highly differentiated, R&D-driven nutraceutical manufacturer with strong IP, global exports, and promoter-led execution, making it an excellent Federer-type company; however, its core operations are not based in Pune, requiring justification for inclusion",Developed patented nutraceutical ingredients like BCM-95 and Shoden with global clinical validation and export presence,"Company Website
LinkedIn
Tofler
Tracxn"
Hexagon Nutrition Limited,hexagonnutrition.com,"Plants: Nashik, Chennai, Tuticorin",Specialty food & nutraceutical ingredients,"Micronutrient premixes
Clinical nutrition products
Therapeutic foods (RUTF, RUSF)
Dietary supplements",?100–500Cr,Kelkar family,Director,Founder-led,Strong,"Multiple manufacturing plants
? End-to-end production + R&D",Strong,India HQ + plants,Strong,"Clinical nutrition focus
Therapeutic food (RUTF — UNICEF-type programs)
Specialized premix formulations",Strong,"R&D-led company
? Scientific nutrition focus",Strong,"Nutraceuticals
? Public health nutrition
? Functional food",Strong,"IPO plans / expansion
? Global exports (70+ countries)
? Partnerships & product expansion",100,A Strong federer,Strongly-Pass,"Hexagon Nutrition is a mid-sized, R&D-driven nutraceutical manufacturer with strong differentiation, global presence, and revenue within the target range, making it an excellent fit for DeepThought’s ICP, though its lack of Pune-based operations requires justification","Develops micronutrient premixes and therapeutic nutrition products used in hospitals, public health programs, and global nutrition initiatives","Company website
Justdial listing (intermediate chemical manufacturer), LinkedIn"
Brihans Laboratories Pvt Ltd,brihanslab.com,"Pune, Maharashtra (Bhosari MIDC)",Pharmaceutical formulations / dermatology products,"Topical creams, ointments
Dermatology products
Pharmaceutical formulations",?50–200Cr,Deepak Kothar,MD,Founder-led,Strong,"Own manufacturing facility
? Product manufacturing",Strong,Pune-based,Moderate,"Dermatology niche

? BUT:

No deep chemistry
No patents
No specialty molecules",Moderate,"Pharma leadership

? BUT:

Not scientist-led R&D company",Strong,Pharma sector,Moderate,"No strong expansion signals
No visible capex / R&D push",65,B Probable Federer,Pass,"Brihans Laboratories is a Pune-based pharmaceutical formulation company focused on dermatology products, with good scale and manufacturing capability, but lacks the specialty chemical or deep technical product differentiation required for DeepThought’s ICP",Develops dermatology-focused pharmaceutical products such as Scalpe and Permite for the Indian healthcare market,"Company website
Justdial listing (intermediate chemical manufacturer), LinkedIn"
Saipro Industries Pvt Ltd,saipro.co.in,"Pune, Maharashtra (Mulshi / Pirangut plants)",Specialty food & nutraceutical ingredients,"Nutraceuticals
Health supplements
Baby food
Natural food ingredients (fruit powders, herbal powders etc.)",?25–100Cr,Vikas Walekar,Founder,MBA,Strong,"Multiple plants + production facilities
? In-house manufacturing",Strong,Pune-based,Moderate,"Nutraceutical ingredients
Certifications (FSSC, HACCP, GMP etc.)",Moderate,"Manufacturing expertise

? BUT:

Not scientist-led
Not R&D-first",Strong,Nutraceuticals + functional food,Strong,"Hiring for plant roles (production, QA, supply chain)",75,B Probable Federer,Pass,"Saipro Industries is a Pune-based nutraceutical manufacturer with in-house production facilities and certifications, operating within the target revenue range; however, its contract manufacturing and private-label model with limited proprietary product development reduces its differentiation, making it a moderate fit for DeepThought’s ICP",,"Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
Bioved Pharmaceuticals Pvt Ltd,bioved.com,Pune (Vadgaon Khurd facility),nutraceuticals / biotech research,"Plant-based drug discovery
Botanical extract validation
Preclinical + clinical trials
Regulatory support",?10–50Cr,Ajit Prabhakar Chitre,Director,Founder-led,Moderate,"Some product manufacturing

? BUT:

Core revenue driver = research + validation services",Strong,Pune-based,Strong,"Proprietary N/Rx platform
Clinical validation
Plant-based drug discovery",Strong,cientists + biotech + clinical research,Strong,Nutraceuticals + biotech,Moderate,"Global presence + patents
? But no strong hiring / expansion signals",85,A Strong federer,Strongly-Pass,"Bioved Pharmaceuticals is a Pune-based, R&D-driven company focused on plant-based drug discovery and clinical validation, operating largely as a contract research and discovery platform with limited manufacturing scale, making it a borderline fit for DeepThought’s manufacturing-focused ICP",Develops clinically validated plant-based pharmaceuticals using a proprietary discovery platform combining Ayurveda with modern biotechnology,"Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
